time	V(cmp_out)	V(filt_out)	V(vin_sensor)
3.280455759703444e-01	1.913386e-01	1.175818e+00	1.169085e-01
3.283015759703444e-01	5.938380e-02	1.174001e+00	1.167300e-01
3.288135759703444e-01	5.443966e-03	1.170392e+00	1.163754e-01
3.298135759703444e-01	5.303158e-05	1.163442e+00	1.156930e-01
3.308135759703444e-01	5.632651e-07	1.156625e+00	1.150238e-01
3.399564331132016e-01	3.103795e-07	1.099791e+00	1.094643e-01
3.490992902560587e-01	1.149669e-07	1.055778e+00	1.051893e-01
3.582421473989159e-01	-2.297261e-08	1.024585e+00	1.021990e-01
3.673850045417730e-01	-1.034390e-07	1.006214e+00	1.004933e-01
3.765278616846301e-01	-1.264324e-07	1.000663e+00	1.000721e-01
3.856707188274873e-01	-9.195274e-08	1.007933e+00	1.009356e-01
3.948135759703444e-01	0.000000e+00	1.028024e+00	1.030837e-01
3.985278616846302e-01	-1.771383e-09	1.040134e+00	1.043487e-01
4.022421473989159e-01	-2.433998e-09	1.054245e+00	1.058127e-01
4.059564331132016e-01	-1.987845e-09	1.070357e+00	1.074759e-01
4.096707188274873e-01	-4.329248e-10	1.088470e+00	1.093381e-01
4.133850045417730e-01	2.230764e-09	1.108584e+00	1.113995e-01
4.170992902560587e-01	6.003220e-09	1.130699e+00	1.136599e-01
4.208135759703445e-01	1.088444e-08	1.154815e+00	1.161194e-01
4.218135759703445e-01	1.549429e-05	1.161597e+00	1.168102e-01
4.228135759703445e-01	1.555215e-03	1.168511e+00	1.175141e-01
4.238135759703445e-01	1.621620e-01	1.175556e+00	1.182310e-01
4.239385759703445e-01	2.824177e-01	1.176447e+00	1.183215e-01
4.241895759703444e-01	7.794492e-01	1.178240e+00	1.185039e-01
4.242075759703444e-01	8.318706e-01	1.178368e+00	1.185170e-01
4.242255759703444e-01	8.864086e-01	1.178497e+00	1.185301e-01
4.242435759703444e-01	9.430632e-01	1.178626e+00	1.185432e-01
4.242615759703444e-01	1.001834e+00	1.178755e+00	1.185564e-01
4.242795759703444e-01	1.062722e+00	1.178884e+00	1.185695e-01
4.242975759703444e-01	1.125726e+00	1.179013e+00	1.185826e-01
4.243155759703444e-01	1.190847e+00	1.179143e+00	1.185958e-01
4.244445759703444e-01	1.621048e+00	1.180069e+00	1.186900e-01
4.245174331132016e-01	1.627686e+00	1.180594e+00	1.187434e-01
4.245902902560587e-01	1.632954e+00	1.181119e+00	1.187968e-01
4.246631473989159e-01	1.636852e+00	1.181644e+00	1.188502e-01
4.247360045417730e-01	1.639380e+00	1.182171e+00	1.189038e-01
4.248088616846301e-01	1.640538e+00	1.182698e+00	1.189574e-01
4.248817188274873e-01	1.640326e+00	1.183226e+00	1.190110e-01
4.249545759703444e-01	1.638744e+00	1.183754e+00	1.190648e-01
4.254665759703444e-01	1.642669e+00	1.187487e+00	1.194443e-01
4.260624331132016e-01	1.644152e+00	1.191874e+00	1.198903e-01
4.266582902560587e-01	1.646328e+00	1.196307e+00	1.203407e-01
4.272541473989159e-01	1.649198e+00	1.200784e+00	1.207955e-01
4.278500045417730e-01	1.652761e+00	1.205305e+00	1.212548e-01
4.284458616846301e-01	1.657019e+00	1.209872e+00	1.217185e-01
4.290417188274873e-01	1.661970e+00	1.214483e+00	1.221866e-01
4.296375759703444e-01	1.667615e+00	1.219139e+00	1.226592e-01
4.298905759703444e-01	2.243158e+00	1.221129e+00	1.228611e-01
4.299355759703444e-01	2.403798e+00	1.221484e+00	1.228971e-01
4.299805759703443e-01	2.548282e+00	1.221839e+00	1.229331e-01
4.300255759703444e-01	2.676612e+00	1.222194e+00	1.229692e-01
4.300705759703444e-01	2.788786e+00	1.222549e+00	1.230052e-01
4.301155759703444e-01	2.884804e+00	1.222905e+00	1.230413e-01
4.301605759703443e-01	2.964667e+00	1.223261e+00	1.230775e-01
4.302055759703444e-01	3.028375e+00	1.223617e+00	1.231136e-01
4.302695759703444e-01	3.101599e+00	1.224124e+00	1.231650e-01
4.303975759703444e-01	3.196117e+00	1.225140e+00	1.232681e-01
